Order ID,First Name,Last Name,Gender,City,Order Date,Order Time,Order Type,Category,Subcategory,Price,Quantity,Total Price,Customer Review,Weather,Payment Method
1,Isabella,Smith,Female,Burnley,2021-12-04,15:57,Eat-in,Street food,Gyoza,1.6,2,3.2,Excellent,Windy,Credit Card
2,Ethan,Anderson,Female,Salford,2022-01-25,16:44,Eat-in,Maki,Hoso Maki,6.33,3,18.99,Excellent,Sunny,Credit Card
3,Oliver,Lee,Female,Lancaster,2023-09-04,18:24,Eat-in,Maki,Rainbow Roll,4.97,3,14.91,Excellent,Windy,Cash
4,Amelia,Hernandez,Male,Burnley,2024-07-09,14:53,Eat-in,Maki,Uramaki,5.18,1,5.18,Good,Sunny,Debit Card
5,Mia,Thomas,Female,Manchester,2023-04-22,14:49,Takeaway,Sashimi,Crab Sashimi,6.22,4,24.88,Excellent,Sunny,Mobile Payment
6,Jack,Miller,Female,Bury,2024-11-15,13:08,Eat-in,Street food,Okonomiyaki,4.11,4,16.44,Good,Sunny,Credit Card
7,Sophia,Moore,Female,Lancaster,2024-03-21,13:43,Eat-in,Nigiri,Eel,4.38,4,17.52,Excellent,Rainy,Debit Card
8,Emma,Brown,Female,Rochdale,2023-11-11,12:27,Eat-in,Nigiri,Sweet Egg,5.5,3,16.5,Poor,Windy,Credit Card
9,Isabella,Hernandez,Male,Rochdale,2023-03-12,16:34,Takeaway,Street food,Miso Soup,3.6,4,14.4,Excellent,Rainy,Debit Card
10,Evelyn,Davis,Female,Salford,2024-02-24,14:04,Takeaway,Street food,Yakitori,1.95,4,7.8,Poor,Sunny,Credit Card
11,Henry,Anderson,Male,Rochdale,2023-12-07,15:25,Takeaway,Ramen,Shio Ramen,11.4,4,45.6,Excellent,Sunny,Credit Card
12,Alexander,Jackson,Female,Burnley,2020-12-21,11:04,Takeaway,Maki,Hoso Maki,3.45,4,13.8,Excellent,Sunny,Mobile Payment
13,Alexander,Martin,Female,Oldham,2023-04-04,12:27,Eat-in,Temaki,Eel Cucumber,5.92,1,5.92,Excellent,Windy,Debit Card
14,Isabella,Davis,Female,Rochdale,2022-07-06,13:15,Takeaway,Nigiri,Shrimp,5.45,5,27.25,Excellent,Windy,Credit Card
15,Emma,Williams,Male,Burnley,2021-08-16,13:25,Takeaway,Sashimi,Octopus,6.94,3,20.82,Poor,Windy,Credit Card
16,Ethan,Taylor,Female,Barrow-in-Furness,2021-01-19,15:03,Eat-in,Nigiri,Tuna,3.91,5,19.55,Excellent,Rainy,Cash
17,Mia,Williams,Female,Manchester,2024-07-04,18:36,Eat-in,Street food,Takoyaki,1.79,5,8.95,Excellent,Sunny,Credit Card
18,Jack,Davis,Female,Blackpool,2023-05-15,14:48,Takeaway,Nigiri,Shrimp,5.99,1,5.99,Excellent,Sunny,Credit Card
19,Oliver,Williams,Male,Bolton,2022-08-27,14:19,Eat-in,Ramen,Vegetarian Ramen,10.01,5,50.05,Excellent,Windy,Mobile Payment
20,Sophia,Martinez,Female,Preston,2023-03-09,13:13,Eat-in,Sashimi,Sea Urchin Sashimi,6.41,5,32.05,Excellent,Rainy,Debit Card
21,Ava,Anderson,Male,Lancaster,2020-03-21,18:10,Eat-in,Street food,Yakitori,3.46,1,3.46,Excellent,Rainy,Mobile Payment
22,Ethan,Johnson,Male,Salford,2023-07-05,11:23,Takeaway,Nigiri,Sea Urchin,2.84,2,5.68,Good,Sunny,Credit Card
23,Benjamin,Lee,Female,Burnley,2024-03-29,14:11,Eat-in,Maki,Spicy Tuna Roll,4.15,2,8.3,Excellent,Windy,Cash
24,Olivia,Taylor,Female,Oldham,2022-04-08,11:12,Eat-in,Maki,Tempura Roll,6.37,3,19.11,Excellent,Sunny,Debit Card
25,Ethan,Lopez,Male,Preston,2024-05-06,15:16,Eat-in,Street food,Gyoza,4.05,3,12.15,Excellent,Rainy,Cash
26,Alexander,Miller,Female,Bury,2020-09-22,15:47,Eat-in,Sashimi,Octopus,3.28,3,9.84,Good,Windy,Cash
27,Evelyn,Moore,Female,Bury,2022-12-10,14:12,Eat-in,Temaki,Shrimp Tempura,6.61,5,33.05,Excellent,Sunny,Debit Card
28,Evelyn,Hernandez,Female,Salford,2023-06-15,14:43,Eat-in,Temaki,Vegetable,6.84,2,13.68,Good,Sunny,Debit Card
29,Henry,Lopez,Female,Burnley,2023-04-26,13:01,Eat-in,Temaki,Shrimp Tempura,6.07,4,24.28,Excellent,Windy,Cash
30,James,Taylor,Female,Blackpool,2023-01-29,16:49,Takeaway,Temaki,California Roll,6.22,5,31.1,Excellent,Sunny,Mobile Payment
31,Isabella,Thomas,Female,Oldham,2023-09-20,14:48,Takeaway,Street food,Onigiri,4.62,4,18.48,Good,Sunny,Debit Card
32,Lucas,Thomas,Female,Burnley,2023-05-25,16:31,Eat-in,Maki,Uramaki,5.35,2,10.7,Excellent,Sunny,Credit Card
